key,source,target
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_CapsuleBoxLetterR1_010,"That's better.
Please let everyone else be okay...","Bu daha iyi.
Nolur herkes iyi olsun..."
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_ShadowPass_010,"Who's there? Is that you, Shu?","Kim var orada? Sen misin, Shu?"
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_PillTutorial_020,Good thing I got this from Shu.,İyi ki bunu Shu'dan almışım.
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_LeaveAlleyway_020,Shu! Where are you?!,Shu! Neredesin?!
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_ShadowPass_020,Shu? Rinko?,Shu? Rinko?
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_FirstMeetBasic_010,Stay back!,Geri çekil!
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_RinkoSound_010,What now?!,Şimdi ne var?!
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_PillTutorial_010,That hurt...,Acıdı...
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_CapsuleBoxLetterR2_010,It's... It's just like my partner said...,Bu... Aynen ortağımın dediği gibi...
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_WorriedFriends_020,I really hope Shu and Rinko are all right.,Umarım Shu ve Rinko iyidir.
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_InAlleyway_030,I need to get back to Sakuko!,Sakuko'nun yanına dönmem gerek!
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_LeaveAlleyway_010,Damn you!,Kahrolasıca!
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_InToHouse_010,Um... Anyone here...?,Şey... Buralarda kimse var mı...?
D_Ch01_ALW_StringTable/Str_Ch01_ALW_EnvInfo_LadyMagazine_010,"Household Tips for the Good Wife and Wise Mother.
A collection of loving ways for mothers to create the perfect home.","İyi Eş ve Bilge Anneler İçin Ev İşlerine Dair İpuçları.
Annelerin mükemmel bir ev yaratmalarına yardımcı olacak sevgi dolu yolların bir koleksiyonu."
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_InAlleyway_020,What is this place?,Burası neresi?
D_Ch01_ALW_StringTable/Str_Ch01_ALW_VO_WorriedFriends_010,This isn't good...,Bu iyi değil...
D_Ch01_ALW_StringTable/Str_Ch01_ALW_Thoughts_WrongKey_010,(The key doesn't fit...),(Anahtar uymuyor...)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_HillView_020,I really miss my sister.,Kız kardeşimi gerçekten çok özlüyorum.
D_Ch01_HLS_StringTable/Str_Ch01_HLS_EnvInfo_UFOPoster_010,"[The Great Space Invasion <1>]

Now in Brilliant Color
THE GREAT SPACE INVASION
Experience terror like never before with the invasion of the BODY-SNATCHING ALIENS!","[Büyük Uzay İstilası <1>]

Şimdi Parlak Renklerde
BÜYÜK UZAY İSTİLASI
VÜCUT ÇALAN UZAYLILARIN istilasıyla daha önce hiç tatmadığınız bir dehşete tanık olun!"
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_HillView_010,Junko and I used to admire the view from here.,"Junko ve ben, eskiden buradan manzarayı seyrederdik."
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_NobodyOnStreet_020,"What about Chizuruya? 
Maybe I'll find someone there.","Peki ya Chizuruya?
Belki orada birini bulurum."
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_Savepoint_010,Guess I'll pray.,Sanırım dua edeceğim.
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_CantGoUpHill_010,"Landslide's blocked off the path... 
Used to climb up there.","Heyelan yolu kapatmış... 
Eskiden oraya tırmanırdım."
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_NobodyOnStreet_010,Where is everyone?,Herkes nerede?
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_Complain_020,There's no way... Never...,İmkansız... Asla...
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_FoxStatue_010,"Oinari-sama...
The fox god's enshrined all over the place.","Oinari-sama...
Tilki tanrısına adanmış küçük tapınaklar her yerde."
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_SacredSword_B,"Maybe the Ojizo-sama in town? 
I'll take a look.","Belki de Ojizo-sama kasabadadır? 
Bir bakayım."
D_Ch01_HLS_StringTable/Str_Ch01_HLS_EnvInfo_SacredSword_010,"The character for ""tsuchi"" (earth) can be faintly seen etched into the stone base.",Taş kaidenin üzerine hafifçe kazınmış “tsuchi” (toprak) karakteri belli belirsiz görülebiliyor.
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_Savepoint_020,"O gods, what should I do?","Ey tanrılar, ne yapmalıyım?"
D_Ch01_HLS_StringTable/Str_Ch01_OLD_EnvInfo_MountainSign_010,Entry to mountain prohibited,Dağa giriş yasaktır
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_SacredSword_Illusion_020,(What was that...?),(O da neydi...?) 
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_FindTreasure_010,(This is the treasure...?),(Hazine bu mu... ?)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_SeeR2HouseOpen_010,"(Hmm, it's wide open...)","(Hmm, ardına kadar açık...)"
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_CuteEraser_010,"(This is from Sakuko, but it's too cute for me.)","(Bu Sakuko'dan, ama benim için biraz fazla tatlı.)"
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_TreasureHunt_010,(I see... I can give it a try.),(Anlıyorum... Bir deneyebilirim.)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_VO_Complain_010,(Sighs),(İç çeker)
D_Ch01_HLS_StringTable/Str_Ch01_HLS_Thoughts_Beer_010,(Drinking at this time of day...?),(Günün bu saatinde içmek...?) 
